model,accuracy,precision,recall,f1_score
XGBoost,0.8584905660377359,0.8644474854577335,0.8584905660377359,0.8601153227331243
SVM,0.8584905660377359,0.8632217998997826,0.8584905660377359,0.859636840499695
Random Forest,0.839622641509434,0.8453403561149012,0.839622641509434,0.8408966477059948
CNN,0.8207547169811321,0.8218101917179497,0.8207547169811321,0.8210637858877977
